t,i1,i2,i3,i4,i5,i6
0.0,100,0,0,0,0,7500
0.01,100,0,0,0,0,6077
0.02,100,0,0,0,0,5239
0.03,100,0,0,0,0,4768
0.04,100,0,3,0,0,4525
0.05,100,3,9,3,3,4171
0.060000000000000005,100,9,16,9,9,3782
0.07,100,17,25,17,16,3403
0.08,100,24,33,26,23,3064
0.09,100,30,38,35,31,2820
0.09999999999999999,100,36,42,43,37,2659
0.10999999999999999,100,40,44,50,43,2563
0.11999999999999998,100,42,45,55,48,2519
0.12999999999999998,100,43,45,60,52,2502
0.13999999999999999,100,43,44,63,56,2506
0.15,100,44,44,66,59,2516
0.16,100,47,46,68,62,2510
0.17,100,52,50,69,65,2486
0.18000000000000002,100,57,56,71,68,2452
0.19000000000000003,100,64,63,72,71,2420
0.20000000000000004,100,70,70,74,74,2382
0.21000000000000005,100,77,78,76,77,2334
0.22000000000000006,100,82,85,79,79,2288
0.23000000000000007,100,87,90,81,82,2249
0.24000000000000007,100,89,93,83,84,2230
0.25000000000000006,100,91,95,85,86,2225
0.26000000000000006,100,91,95,87,87,2222
0.2700000000000001,100,90,93,89,89,2204
0.2800000000000001,100,89,91,90,90,2176
0.2900000000000001,100,88,89,91,92,2143
0.3000000000000001,100,87,87,92,93,2111
0.3100000000000001,100,88,86,93,94,2089
0.3200000000000001,100,89,87,94,96,2076
0.3300000000000001,100,90,89,95,96,2080
0.34000000000000014,100,92,91,96,97,2093
0.35000000000000014,100,95,94,97,97,2105
0.36000000000000015,100,98,98,97,97,2116
0.37000000000000016,100,100,102,97,98,2129
0.38000000000000017,100,102,104,97,98,2150
0.3900000000000002,100,104,106,98,97,2174
0.4000000000000002,100,105,107,98,97,2192
0.4100000000000002,100,106,106,98,97,2209
0.4200000000000002,100,106,105,99,97,2218
0.4300000000000002,100,105,103,100,97,2209
0.4400000000000002,100,103,101,100,98,2177
0.45000000000000023,100,102,99,101,98,2123
0.46000000000000024,100,101,99,102,100,2050
0.47000000000000025,100,99,98,103,101,1966
0.48000000000000026,100,99,99,104,103,1882
0.49000000000000027,100,99,100,104,104,1813
0.5000000000000002,100,99,101,105,105,1788
0.5100000000000002,100,100,102,105,106,1821
0.5200000000000002,100,100,103,104,105,1900
0.5300000000000002,100,101,104,103,104,1994
0.5400000000000003,100,102,104,101,102,2077
0.5500000000000003,100,102,105,99,101,2138
0.5600000000000003,100,101,105,98,100,2170
0.5700000000000003,100,101,104,96,99,2172
0.5800000000000003,100,100,104,96,99,2156
0.5900000000000003,100,100,103,96,100,2116
0.6000000000000003,100,100,103,96,100,2064
0.6100000000000003,100,100,102,97,101,2017
0.6200000000000003,100,100,101,98,101,1990
0.6300000000000003,100,100,101,100,101,1986
0.6400000000000003,100,100,100,101,101,2000
0.6500000000000004,100,100,99,101,101,2034
0.6600000000000004,100,100,99,101,100,2085
0.6700000000000004,100,100,98,101,99,2139
0.6800000000000004,100,100,98,101,98,2181
0.6900000000000004,100,100,98,101,98,2203
0.7000000000000004,100,101,99,100,98,2200
0.7100000000000004,100,102,100,100,98,2177
0.7200000000000004,100,102,100,100,98,2147
0.7300000000000004,100,101,101,100,98,2110
0.7400000000000004,100,101,102,100,99,2061
0.7500000000000004,100,100,102,101,100,2012
0.7600000000000005,100,100,102,101,101,1971
0.7700000000000005,100,99,102,101,101,1949
0.7800000000000005,100,99,101,101,102,1947
0.7900000000000005,100,99,101,101,102,1958
0.8000000000000005,100,99,101,101,102,1983
0.8100000000000005,100,100,101,102,101,2010
0.8200000000000005,100,101,101,102,101,2029
0.8300000000000005,100,102,101,102,101,2040
0.8400000000000005,100,103,102,102,101,2045
0.8500000000000005,100,104,102,102,101,2047
0.8600000000000005,100,104,103,102,101,2039
0.8700000000000006,100,104,103,102,101,2021
0.8800000000000006,100,103,103,102,101,1991
0.8900000000000006,100,102,104,102,102,1954
0.9000000000000006,100,101,104,102,102,1924
0.9100000000000006,100,100,104,101,103,1908
0.9200000000000006,100,100,103,101,103,1903
0.9300000000000006,100,100,103,101,103,1915
0.9400000000000006,100,100,102,101,102,1940
0.9500000000000006,100,100,102,101,102,1972
0.9600000000000006,100,100,102,101,101,2008
0.9700000000000006,100,100,102,101,101,2033
0.9800000000000006,100,100,102,101,100,2041
0.9900000000000007,100,100,102,101,100,2028
1.0000000000000007,100,100,102,101,101,1995
1.0100000000000007,100,100,102,100,101,1957
1.0200000000000007,100,100,102,100,101,1928
1.0300000000000007,100,100,102,100,102,1919
1.0400000000000007,100,100,102,100,102,1929
1.0500000000000007,100,100,101,100,101,1950
1.0600000000000007,100,100,100,100,101,1980
1.0700000000000007,100,100,100,100,100,2009
1.0800000000000007,100,100,99,99,100,2038
1.0900000000000007,100,100,99,99,99,2076
1.1000000000000008,100,100,99,99,98,2112
1.1100000000000008,100,100,99,98,98,2134
1.1200000000000008,100,101,99,99,97,2138
1.1300000000000008,100,101,99,99,97,2138
1.1400000000000008,100,101,99,99,97,2139
1.1500000000000008,100,101,99,99,97,2144
1.1600000000000008,100,101,99,99,97,2147
1.1700000000000008,100,100,99,99,97,2146
1.1800000000000008,100,99,99,99,97,2140
1.1900000000000008,100,98,98,98,97,2125
1.2000000000000008,100,97,98,98,97,2103
1.2100000000000009,100,96,97,97,98,2079
1.2200000000000009,100,95,97,96,98,2056
1.2300000000000009,100,95,96,96,98,2038
1.2400000000000009,100,94,97,95,99,2028
1.2500000000000009,100,94,97,95,99,2030
1.260000000000001,100,94,98,95,99,2042
1.270000000000001,100,94,99,95,99,2058
1.280000000000001,100,95,99,95,99,2079
1.290000000000001,100,96,100,96,98,2105
1.300000000000001,100,97,100,96,98,2132
1.310000000000001,100,97,100,97,98,2157
1.320000000000001,100,98,99,97,97,2180
1.330000000000001,100,99,98,98,97,2194
1.340000000000001,100,99,98,99,97,2185
1.350000000000001,100,99,97,99,97,2161
1.360000000000001,100,100,97,99,97,2125
1.370000000000001,100,100,97,100,98,2087
1.380000000000001,100,100,98,100,99,2052
1.390000000000001,100,101,99,100,99,2034
1.400000000000001,100,101,99,100,99,2043
1.410000000000001,100,100,100,100,99,2073
1.420000000000001,100,100,100,100,99,2113
1.430000000000001,100,99,100,99,98,2165
1.440000000000001,100,98,100,99,97,2217
1.450000000000001,100,98,100,99,96,2252
1.460000000000001,100,98,100,100,96,2262
1.470000000000001,100,98,100,100,96,2242
1.480000000000001,100,99,100,100,97,2191
1.490000000000001,100,99,101,100,98,2119
1.500000000000001,100,99,102,100,99,2045
1.5100000000000011,100,100,102,100,100,1995
1.5200000000000011,100,100,103,100,101,1971
1.5300000000000011,100,99,103,100,101,1964
1.5400000000000011,100,99,103,100,102,1966
1.5500000000000012,100,99,103,100,102,1983
1.5600000000000012,100,99,103,101,101,2016
1.5700000000000012,100,100,102,101,101,2057
1.5800000000000012,100,101,102,101,100,2092
1.5900000000000012,100,101,101,101,100,2118
1.6000000000000012,100,102,101,101,100,2128
1.6100000000000012,100,102,100,100,99,2117
1.6200000000000012,100,102,100,100,100,2097
1.6300000000000012,100,102,99,100,100,2079
1.6400000000000012,100,102,99,99,100,2077
1.6500000000000012,100,101,98,99,100,2083
1.6600000000000013,100,99,98,99,100,2094
1.6700000000000013,100,99,98,99,99,2103
1.6800000000000013,100,98,98,99,99,2103
1.6900000000000013,100,98,99,99,99,2099
1.7000000000000013,100,98,99,99,99,2103
1.7100000000000013,100,98,99,99,99,2111
1.7200000000000013,100,98,99,99,99,2120
