t,i1,i2,i3,i4,i5,i6
0.0,30,0,0,0,0,2686
0.01,30,0,0,0,0,2358
0.02,30,0,0,0,0,2145
0.03,30,0,0,0,0,2013
0.04,30,0,0,0,0,1941
0.05,30,0,0,0,0,1909
0.060000000000000005,30,0,0,0,0,1908
0.07,30,0,0,0,0,1928
0.08,30,0,0,0,0,1964
0.09,30,0,0,0,0,2010
0.09999999999999999,30,0,0,0,0,2064
0.10999999999999999,30,0,0,0,0,2123
0.11999999999999998,30,0,0,0,0,2186
0.12999999999999998,30,0,0,0,0,2253
0.13999999999999999,30,0,0,0,0,2321
0.15,30,0,0,0,0,2391
0.16,30,0,0,0,0,2461
0.17,30,0,0,0,0,2533
0.18000000000000002,30,0,0,0,0,2605
0.19000000000000003,30,0,0,0,0,2677
0.20000000000000004,30,0,0,0,0,2750
0.21000000000000005,30,0,0,-1,0,2823
0.22000000000000006,30,0,0,-2,0,2896
0.23000000000000007,30,0,0,-2,0,2969
0.24000000000000007,30,0,0,-3,0,3042
0.25000000000000006,30,0,0,-4,0,3115
0.26000000000000006,30,0,0,-4,0,3188
0.2700000000000001,30,0,0,-5,0,3262
0.2800000000000001,30,0,0,-5,0,3335
0.2900000000000001,30,0,0,-6,0,3408
0.3000000000000001,30,0,0,-6,0,3481
0.3100000000000001,30,0,0,-6,0,3555
0.3200000000000001,30,0,0,-6,0,3628
0.3300000000000001,30,0,0,-6,0,3701
0.34000000000000014,30,0,0,-7,0,3775
0.35000000000000014,30,0,0,-7,0,3848
0.36000000000000015,30,0,0,-6,0,3921
0.37000000000000016,30,0,0,-6,0,3995
0.38000000000000017,30,0,0,-5,0,4068
0.3900000000000002,30,0,0,-5,0,4141
0.4000000000000002,30,0,0,-4,0,4231
0.4100000000000002,30,0,0,-3,0,4328
0.4200000000000002,30,0,0,-2,0,4430
0.4300000000000002,30,0,0,-2,1,4532
0.4400000000000002,30,0,-1,-1,1,4632
0.45000000000000023,30,0,-1,-1,1,4731
0.46000000000000024,30,0,-2,-1,2,4826
0.47000000000000025,30,0,-2,-1,2,4919
0.48000000000000026,30,-1,-2,-1,2,5009
0.49000000000000027,30,-1,-2,-1,2,5097
0.5000000000000002,30,-1,-3,-1,2,5183
0.5100000000000002,30,-2,-3,-2,2,5267
0.5200000000000002,30,-2,-3,-2,2,5350
0.5300000000000002,30,-2,-3,-2,2,5388
0.5400000000000003,30,-2,-3,-2,3,5403
0.5500000000000003,30,-2,-2,-2,3,5407
0.5600000000000003,30,-2,-1,-2,2,5409
0.5700000000000003,30,-2,0,-2,2,5415
0.5800000000000003,30,-2,0,-2,2,5427
0.5900000000000003,30,-3,1,-2,2,5447
0.6000000000000003,30,-3,2,-2,2,5474
0.6100000000000003,30,-3,3,-3,2,5510
0.6200000000000003,30,-3,4,-3,2,5551
