t,i1,i2,i3,i4,i5,i6
0.0,100,0,0,0,0,0
0.01,100,0,0,0,0,0
0.02,100,0,0,0,0,0
0.03,100,0,2,0,3,0
0.04,100,3,8,3,10,280
0.05,100,8,15,8,18,303
0.060000000000000005,100,14,23,15,28,303
0.07,100,21,31,24,39,284
0.08,100,29,38,34,51,251
0.09,100,35,43,45,61,251
0.09999999999999999,100,41,48,56,71,191
0.10999999999999999,100,45,51,66,78,191
0.11999999999999998,100,49,53,74,83,235
0.12999999999999998,100,52,54,81,87,306
0.13999999999999999,100,55,56,85,90,306
0.15,100,59,59,88,91,408
0.16,100,63,62,89,90,430
0.17,100,68,66,88,88,432
0.18000000000000002,100,74,71,86,86,416
0.19000000000000003,100,79,77,84,83,395
0.20000000000000004,100,83,82,80,80,379
0.21000000000000005,100,87,87,77,77,364
0.22000000000000006,100,89,91,74,75,364
0.23000000000000007,100,91,94,72,74,345
0.24000000000000007,100,92,96,70,73,319
0.25000000000000006,100,92,96,70,74,284
0.26000000000000006,100,91,95,71,76,284
0.2700000000000001,100,89,92,73,78,253
0.2800000000000001,100,86,89,76,81,253
0.2900000000000001,100,83,85,79,85,228
0.3000000000000001,100,80,80,82,87,210
0.3100000000000001,100,76,76,85,90,210
0.3200000000000001,100,72,71,87,91,220
0.3300000000000001,100,69,68,88,91,220
0.34000000000000014,100,66,64,88,89,253
0.35000000000000014,100,64,62,87,86,290
0.36000000000000015,100,63,61,85,82,333
0.37000000000000016,100,63,61,81,77,333
0.38000000000000017,100,64,63,77,72,356
0.3900000000000002,100,67,65,73,67,377
0.4000000000000002,100,69,67,68,62,359
0.4100000000000002,100,71,69,64,57,293
0.4200000000000002,100,72,71,60,53,293
0.4300000000000002,100,73,72,58,50,228
0.4400000000000002,100,72,72,57,49,228
0.45000000000000023,100,71,72,58,49,163
0.46000000000000024,100,69,68,59,52,163
0.47000000000000025,100,66,64,62,55,163
0.48000000000000026,100,63,60,65,60,178
0.49000000000000027,100,60,56,69,64,226
0.5000000000000002,100,58,54,71,69,226
0.5100000000000002,100,57,53,73,73,276
0.5200000000000002,100,57,53,74,75,315
0.5300000000000002,100,58,54,74,75,335
0.5400000000000003,100,60,57,73,75,342
0.5500000000000003,100,62,61,71,74,342
0.5600000000000003,100,65,64,68,71,349
0.5700000000000003,100,68,68,65,68,342
0.5800000000000003,100,70,71,63,66,318
0.5900000000000003,100,72,73,60,64,293
0.6000000000000003,100,74,75,58,62,293
0.6100000000000003,100,74,75,58,62,261
0.6200000000000003,100,74,75,58,64,255
0.6300000000000003,100,74,74,60,67,255
0.6400000000000003,100,73,74,63,70,266
0.6500000000000004,100,72,73,67,75,281
0.6600000000000004,100,72,72,71,79,281
0.6700000000000004,100,71,71,75,82,291
0.6800000000000004,100,71,71,78,84,291
0.6900000000000004,100,70,71,80,85,307
0.7000000000000004,100,71,71,81,85,307
0.7100000000000004,100,71,72,82,83,317
0.7200000000000004,100,72,72,81,81,330
0.7300000000000004,100,73,73,79,77,330
0.7400000000000004,100,74,74,77,74,321
0.7500000000000004,100,75,74,74,70,321
0.7600000000000005,100,75,75,71,67,296
0.7700000000000005,100,76,75,68,64,272
0.7800000000000005,100,75,75,66,61,272
0.7900000000000005,100,75,75,65,60,264
0.8000000000000005,100,74,75,64,61,258
0.8100000000000005,100,73,74,65,62,258
0.8200000000000005,100,71,73,67,65,250
0.8300000000000005,100,70,72,70,68,249
0.8400000000000005,100,69,71,73,71,249
0.8500000000000005,100,68,70,76,75,259
0.8600000000000005,100,67,70,78,77,279
0.8700000000000006,100,66,69,79,79,279
0.8800000000000006,100,66,69,79,80,288
0.8900000000000006,100,66,68,79,80,300
0.9000000000000006,100,67,68,77,78,306
0.9100000000000006,100,67,69,75,76,306
0.9200000000000006,100,68,70,73,73,305
0.9300000000000006,100,69,71,70,70,309
0.9400000000000006,100,70,72,67,67,297
0.9500000000000006,100,71,72,65,65,297
0.9600000000000006,100,72,73,63,64,272
0.9700000000000006,100,72,73,62,64,263
0.9800000000000006,100,72,73,63,64,263
0.9900000000000007,100,71,72,64,66,259
1.0000000000000007,100,70,71,65,68,273
1.0100000000000007,100,70,70,67,71,273
1.0200000000000007,100,69,70,69,74,280
1.0300000000000007,100,69,69,72,77,294
1.0400000000000007,100,69,69,73,78,300
1.0500000000000007,100,69,68,74,79,300
1.0600000000000007,100,70,69,74,79,301
1.0700000000000007,100,70,69,74,78,304
1.0800000000000007,100,71,70,73,76,301
1.0900000000000007,100,72,71,72,74,301
1.1000000000000008,100,72,71,71,72,297
1.1100000000000008,100,72,72,69,69,289
1.1200000000000008,100,73,72,67,68,289
1.1300000000000008,100,72,72,66,67,274
1.1400000000000008,100,72,72,66,66,271
1.1500000000000008,100,72,72,66,67,266
1.1600000000000008,100,71,71,66,67,266
1.1700000000000008,100,70,70,68,69,275
1.1800000000000008,100,70,70,69,71,270
1.1900000000000008,100,69,69,71,72,270
1.2000000000000008,100,69,69,73,74,268
1.2100000000000009,100,68,68,74,75,267
1.2200000000000009,100,68,68,75,75,267
