t,i1,i2,i3,i4,i5
0.0,0,0,0,0,0
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,0,0,0
0.04,0,0,0,0,0
0.05,0,0,0,0,0
0.060000000000000005,0,0,0,0,0
0.07,0,0,0,0,0
0.08,0,0,0,0,0
0.09,0,0,0,0,0
0.09999999999999999,0,0,0,0,0
0.10999999999999999,0,0,0,0,0
0.11999999999999998,0,0,0,0,0
0.12999999999999998,0,0,0,0,0
0.13999999999999999,0,0,0,0,0
0.15,0,0,0,0,0
0.16,0,0,0,0,0
0.17,0,0,0,0,0
0.18000000000000002,0,0,0,0,0
0.19000000000000003,0,0,0,0,0
0.20000000000000004,0,0,0,0,0
0.21000000000000005,0,0,0,0,0
0.22000000000000006,0,0,0,0,0
0.23000000000000007,0,0,0,0,0
0.24000000000000007,0,0,0,0,0
0.25000000000000006,0,0,0,0,0
0.26000000000000006,0,0,0,0,0
0.2700000000000001,0,0,0,0,0
0.2800000000000001,0,0,0,0,0
0.2900000000000001,0,0,0,0,0
0.3000000000000001,0,0,0,0,0
0.3100000000000001,0,0,0,0,0
0.3200000000000001,0,0,0,0,0
0.3300000000000001,0,0,0,0,0
0.34000000000000014,0,0,0,0,0
0.35000000000000014,2000,0,0,0,0
0.36000000000000015,2000,0,0,0,0
0.37000000000000016,2000,0,0,0,0
0.38000000000000017,2000,97,106,101,80
0.3900000000000002,2000,165,153,163,113
0.4000000000000002,2000,196,176,196,133
0.4100000000000002,2000,229,216,222,179
0.4200000000000002,2000,247,233,249,205
0.4300000000000002,2000,276,262,272,228
0.4400000000000002,2000,300,281,299,245
0.45000000000000023,2000,317,303,324,267
0.46000000000000024,2000,330,315,339,279
0.47000000000000025,2000,350,335,355,298
0.48000000000000026,2000,367,344,378,315
0.49000000000000027,2000,382,364,388,327
0.5000000000000002,2000,397,372,404,337
0.5100000000000002,2000,412,378,413,353
0.5200000000000002,2000,417,391,427,359
0.5300000000000002,2000,431,403,451,373
0.5400000000000003,2000,438,421,451,380
0.5500000000000003,2000,444,419,465,383
0.5600000000000003,2000,461,437,473,393
0.5700000000000003,2000,464,444,487,408
0.5800000000000003,2000,479,451,503,410
0.5900000000000003,2000,479,464,495,421
0.6000000000000003,2000,493,458,510,423
0.6100000000000003,2000,490,471,515,431
0.6200000000000003,2000,500,472,533,442
0.6300000000000003,2000,500,484,527,441
0.6400000000000003,2000,511,486,542,450
0.6500000000000004,2000,516,496,537,449
0.6600000000000004,2000,518,507,546,457
0.6700000000000004,2000,518,506,542,465
0.6800000000000004,2000,526,503,557,464
0.6900000000000004,2000,524,506,549,466
0.7000000000000004,2000,536,520,561,477
0.7100000000000004,2000,534,507,560,475
0.7200000000000004,2000,534,522,573,475
0.7300000000000004,2000,540,519,566,479
0.7400000000000004,2000,537,531,573,485
0.7500000000000004,2000,543,534,566,487
0.7600000000000005,2000,543,536,579,488
0.7700000000000005,2000,552,537,571,485
0.7800000000000005,2000,552,537,579,495
0.7900000000000005,2000,560,536,574,495
0.8000000000000005,2000,560,537,589,492
0.8100000000000005,2000,568,536,581,492
0.8200000000000005,2000,566,540,597,495
0.8300000000000005,2000,571,543,595,501
0.8400000000000005,2000,568,547,593,500
0.8500000000000005,4000,574,552,598,506
0.8600000000000005,4000,606,588,634,534
0.8700000000000006,4000,626,623,675,574
0.8800000000000006,4000,664,649,689,600
0.8900000000000006,4000,680,664,729,632
0.9000000000000006,4000,711,699,751,643
0.9100000000000006,4000,722,709,760,649
0.9200000000000006,4000,729,722,781,687
0.9300000000000006,4000,760,743,806,689
0.9400000000000006,4000,763,757,809,714
0.9500000000000006,4000,772,766,806,716
0.9600000000000006,4000,793,787,836,735
0.9700000000000006,4000,793,787,851,751
0.9800000000000006,4000,793,784,836,751
0.9900000000000007,4000,806,796,843,757
1.0000000000000007,4000,813,813,873,775
1.0100000000000007,4000,816,800,865,772
1.0200000000000007,4000,809,809,873,775
1.0300000000000007,4000,809,826,858,775
1.0400000000000007,4000,819,826,869,784
1.0500000000000007,4000,829,836,873,787
1.0600000000000007,4000,819,826,877,793
1.0700000000000007,4000,836,826,869,793
1.0800000000000007,4000,833,829,877,793
1.0900000000000007,4000,833,836,877,790
1.1000000000000008,4000,826,836,892,809
1.1100000000000008,4000,833,833,881,806
1.1200000000000008,4000,840,840,877,793
1.1300000000000008,4000,833,843,888,803
1.1400000000000008,4000,829,843,904,806
1.1500000000000008,4000,843,840,900,803
1.1600000000000008,4000,847,843,888,800
1.1700000000000008,4000,840,847,877,816
1.1800000000000008,4000,836,851,888,809
1.1900000000000008,4000,843,840,913,806
1.2000000000000008,4000,847,847,904,813
1.2100000000000009,4000,840,851,888,816
1.2200000000000009,4000,836,847,881,809
1.2300000000000009,4000,862,854,896,806
1.2400000000000009,4000,847,847,909,806
1.2500000000000009,4000,843,851,904,816
1.260000000000001,4000,840,843,888,813
1.270000000000001,4000,851,854,881,816
1.280000000000001,4000,847,854,888,823
1.290000000000001,4000,843,858,913,809
1.300000000000001,4000,836,843,909,809
1.310000000000001,4000,854,873,900,819
1.320000000000001,4000,843,854,881,819
1.330000000000001,4000,840,840,884,813
1.340000000000001,4000,836,847,892,813
1.350000000000001,4000,829,833,904,813
1.360000000000001,4000,843,854,896,819
1.370000000000001,6000,836,843,884,829
1.380000000000001,6000,854,851,909,826
1.390000000000001,6000,865,869,921,858
1.400000000000001,6000,896,884,943,858
1.410000000000001,6000,896,904,956,869
1.420000000000001,6000,896,900,947,869
1.430000000000001,6000,904,913,943,873
